id;first_name;last_name;email;phone;notes
1;Harry;Kutch;Ellsworth_Ward1@yahoo.com;787.269.0420 x634;insistent
2;Jaeden;Hegmann;Flossie25@yahoo.com;(714) 338-9877 x2098;pish hm bloom
3;Liana;Thompson;Crawford_Stroman@hotmail.com;1-268-347-2905 x592;yearly shred
4;Maryam;Ullrich;Pierre_Mante22@yahoo.com;510.598.4682 x92805;forenenst
5;Emanuel;Brown;Sigurd_Stracke-Cummerata@hotmail.com;425-755-3999 x718;regularly wonderfully woot
6;Ole;Bernhard;Fermin_Bradtke-Kreiger63@gmail.com;1-209-927-7586;sociable obediently yowza
7;Mariam;Hintz;Assunta_Koelpin@gmail.com;477-476-9059 x3950;excluding forenenst yowza
8;Loy;Reynolds;Tamara.Skiles@yahoo.com;1-608-506-7773 x79822;kosher
9;Angie;Rath;Mckenzie14@gmail.com;(904) 774-5869 x96773;seafood incidentally
10;Keeley;Murazik;Brenda_Bogan-Glover94@hotmail.com;1-967-550-9632 x098;transparency
