id;type;message;sent_date;is_read;recipient_email;recipient_phone
1;EMAIL;coast near;2025-09-18T23:31:35;true;wrong into;tattered bob smuggle
2;SYSTEM;down;2025-09-18T23:32:45;true;without knuckle;once yahoo
3;SYSTEM;whether forenenst;2025-09-19T06:07:33;true;selfishly settle;toothbrush
4;EMAIL;ick surprisingly;2025-09-18T19:51:21;false;pfft egg yum;supposing pharmacopoeia gadzooks
5;SMS;whereas;2025-09-19T01:20:20;false;plus boastfully;busily until
6;SYSTEM;why scotch flash;2025-09-18T22:38:54;false;against;which
7;EMAIL;why;2025-09-19T00:38:13;false;hairy;gah since
8;SMS;swing upon;2025-09-18T12:54:53;true;softly;solace
9;SYSTEM;spherical;2025-09-19T01:46:10;true;now;gracious woefully
10;SMS;reproachfully cruelly;2025-09-18T15:28:50;true;hmph apud left;however greatly
